video 1/1 (212/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.4ms
video 1/1 (213/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.5ms
video 1/1 (214/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.9ms
video 1/1 (215/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.2ms
video 1/1 (216/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 21.8ms
video 1/1 (217/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.4ms
video 1/1 (218/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.4ms
video 1/1 (219/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.3ms
video 1/1 (220/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.2ms
video 1/1 (221/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 21.1ms
video 1/1 (222/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.3ms
video 1/1 (223/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.2ms
video 1/1 (224/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 21.5ms
video 1/1 (225/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.2ms
